"","hpv_1","uptake_mean","uptake_max"
"47",40.8,0.0502400000000002,0.0502400000000002
"48",40.9,0.0529600000000002,0.0529600000000002
"49",42.5,0.0519999999999996,0.0519999999999996
"50",42.9,0.0502400000000002,0.0502400000000002
"51",43.2,0.0524799999999999,0.0524799999999999
"52",43.5,0.0543999999999997,0.0543999999999997
"53",44,0.0527999999999999,0.0527999999999999
"54",44.3,0.0502400000000002,0.0502400000000002
"55",44.7,0.0534399999999998,0.0534399999999998
"56",45.2,0.0543999999999997,0.0543999999999997
"57",47.9,0.0532800000000002,0.0532800000000002
"58",48.3,0.0503999999999998,0.0503999999999998
"59",48.5,0.0502400000000002,0.0502400000000002
"60",48.9,0.0543999999999997,0.0543999999999997
"61",49.5,0.0524799999999999,0.0524799999999999
"62",49.6,0.0547199999999997,0.0547199999999997
"63",49.7,0.05608,0.0572800000000001
"64",50.3,0.0547733333333331,0.0574399999999997
"65",50.9,0.0554399999999998,0.0558399999999999
"66",51,0.0553599999999996,0.0553599999999996
"67",51.1,0.0542400000000001,0.0542400000000001
"68",51.3,0.0598399999999998,0.0598399999999998
"69",53.3,0.0598399999999998,0.0598399999999998
"70",53.5,0.0600000000000001,0.0600000000000001
"71",54,0.0574399999999997,0.0574399999999997
"72",54.4,0.0567999999999998,0.0567999999999998
"73",54.7,0.05824,0.05824
"74",55.1,0.0611199999999997,0.0611199999999997
"75",55.5,0.0588799999999999,0.0588799999999999
"76",55.8,0.0560000000000002,0.0560000000000002
"77",58,0.0572800000000001,0.0572800000000001
"78",58.3,0.0577599999999997,0.0577599999999997
"79",58.7,0.0603200000000001,0.0603200000000001
"80",59.1,0.0564799999999998,0.0564799999999998
"81",59.3,0.0607999999999997,0.0607999999999997
"82",59.4,0.0584800000000001,0.0593600000000002
"83",61.5,0.0655999999999999,0.0655999999999999
"84",61.8,0.0640000000000001,0.0640000000000001
"85",61.9,0.0638399999999997,0.0638399999999997
"86",62.1,0.068,0.068
"87",62.2,0.0646933333333332,0.0652799999999999
"88",62.3,0.0675199999999997,0.0675199999999997
"89",62.4,0.0652799999999999,0.0652799999999999
"90",64.5,0.0675199999999997,0.0675199999999997
"91",65,0.0628799999999998,0.0628799999999998
"92",65.1,0.0683199999999999,0.0683199999999999
"93",65.7,0.0659199999999998,0.0659199999999998
"94",66,0.068,0.068
"95",66.3,0.0659199999999998,0.0659199999999998
"96",66.5,0.0649599999999999,0.0649599999999999
"97",66.9,0.0688000000000002,0.0688000000000002
"98",67.3,0.0641599999999997,0.0641599999999997
"99",70.7,0.07188,0.0744
"100",71,0.0782399999999996,0.0782399999999996
"101",71.3,0.0819200000000002,0.0819200000000002
"102",71.6,0.0792000000000002,0.0792000000000002
"103",71.9,0.0806399999999996,0.0806399999999996
"104",72.2,0.07776,0.07776
"105",72.8,0.0759999999999998,0.0759999999999998
"106",73.4,0.0768000000000001,0.0768000000000001
"107",73.5,0.0788800000000002,0.0788800000000002
"108",77.4,0.08048,0.08048
"109",77.8,0.0799999999999997,0.0799999999999997
"110",78.1,0.08048,0.08048
"111",78.2,0.0779199999999996,0.0779199999999996
"112",78.7,0.0782399999999996,0.0782399999999996
"113",79.1,0.0803199999999997,0.0803199999999997
"114",79.2,0.0988799999999998,0.10096
"115",79.3,0.0806399999999996,0.0806399999999996
"116",79.6,0.09192,0.0975999999999999
"117",80.7,0.0799199999999999,0.08048
"118",83.9,0.0985599999999998,0.0985599999999998
"119",84.4,0.0960000000000001,0.0960000000000001
"120",84.6,0.09848,0.0990400000000001
"121",84.8,0.0993600000000001,0.0993600000000001
"122",85.2,0.0990400000000001,0.0990400000000001
"123",85.8,0.0993600000000001,0.0993600000000001
"124",86.3,0.0991999999999997,0.0991999999999997
"125",86.6,0.0993600000000001,0.0993600000000001
"126",87.1,0.10416,0.10416
"127",87.4,0.10208,0.10208
"128",87.5,0.10016,0.10016
"129",88,0.0972799999999999,0.0972799999999999
"130",89.3,0.12336,0.12336
"131",90.7,0.10096,0.104
"132",90.8,0.112213333333333,0.13104
"133",90.9,0.1016,0.10272
"134",91,0.10096,0.10096
"135",91.1,0.10112,0.10112
"136",91.2,0.13232,0.13232
"137",91.3,0.1296,0.1296
"138",91.5,0.13216,0.13216
"139",91.7,0.13248,0.13248
"140",91.8,0.13136,0.13136
"141",91.9,0.131253333333333,0.13296
"142",94.4,0.13168,0.13312
"143",94.5,0.13488,0.13488
