time,hpv,uptake
17520,10.68,0.042759094
17610,10.62,0.043033631
17640,10.61,0.043033631
17670,10.59,0.041660947
17700,10.55,0.042415923
17760,10.51,0.041729581
17790,10.5,0.043308167
17820,10.47,0.042004118
17850,10.45,0.042278655
17910,10.4,0.042964997
17940,10.41,0.041798216
17970,10.39,0.042347289
18000,10.37,0.042553191
18060,10.34,0.041455045
18090,10.32,0.042210021
18120,10.29,0.042004118
18150,10.29,0.041317776
18240,10.25,0.03973919
18270,10.25,0.04138641
18300,10.23,0.04186685
18390,10.19,0.039945093
18420,10.16,0.040356898
18450,10.14,0.041729581
18480,10.13,0.040837337
18540,10.09,0.04138641
18570,10.09,0.04104324
18600,10.06,0.040082361
18630,10.04,0.040905971
18690,9.99,0.040837337
18720,10,0.039945093
18750,9.98,0.041455045
18780,9.98,0.0405628
18840,9.95,0.040631434
18870,9.94,0.040356898
18900,9.94,0.040905971
18930,9.94,0.039190117
19020,9.93,0.040425532
19050,9.89,0.040837337
19080,9.91,0.040425532
19170,9.84,0.040288264
19200,9.84,0.040013727
19230,9.83,0.040082361
19260,9.81,0.040768703
19320,9.78,0.040150995
19350,9.76,0.040494166
19380,9.74,0.03891558
19410,9.74,0.039190117
19470,9.71,0.039601922
19500,9.7,0.039876458
19530,9.7,0.03891558
19560,9.71,0.038641043
19620,9.67,0.040356898
19650,9.66,0.039533288
19680,9.65,0.039807824
19710,9.64,0.039533288
19800,9.62,0.040082361
19830,9.61,0.037405628
