hpv_4a,4a_filtech,hpv_mof-801,mof-801,hpv_alumina,alumina_filtech,hpv_mof-303,mof-303_1230_ntu,hpv_a520,a520_itri
41,0.118227147,12.23,0.309952607,,,15.47,0.305896226,,
41.8,0.117617729,12.26,0.301579779,,,15.4,0.302830189,,
42.5,0.11800554,12.32,0.30600316,,,15.2,0.303066038,,
43.3,0.117285319,12.37,0.317535545,,,15.12,0.298820755,,
44.1,0.117783934,12.41,0.322748815,,,15.05,0.298820755,,
45,0.118891967,12.47,0.316587678,,,14.98,0.296226415,,
46,0.117174515,12.51,0.322590837,,,14.79,0.295754717,,
47,0.118060942,12.54,0.31943128,,,14.71,0.295283019,,
47.9,0.119298246,12.59,0.320379147,,,14.65,0.291273585,,
48,0.120692521,12.66,0.313586098,,,14.62,0.2875,,
48.1,0.120193906,12.71,0.318325434,,,14.49,0.287971698,,
48.2,0.120886427,12.75,0.319747235,,,14.41,0.287735849,,
48.4,0.121052632,12.79,0.326698262,,,14.33,0.288915094,,
48.5,0.120415513,12.87,0.323064771,,,14.28,0.289622642,,
48.6,0.120110803,12.96,0.327172196,,,14.05,0.27995283,,
48.8,0.119418283,13.05,0.331595577,,,13.99,0.280660377,,
48.9,0.119390582,13.15,0.32906793,,,13.95,0.277830189,,
49,0.118947368,13.25,0.329225908,,,13.76,0.277122642,,
49.1,0.120498615,13.39,0.332385466,,,13.7,0.272169811,,
49.2,0.11900277,13.59,0.328751975,,,13.66,0.275471698,,
49.4,0.118947369,13.8,0.331121643,,,13.58,0.274528302,,
49.5,0.119686057,13.93,0.334755134,,,13.5,0.265801887,,
49.6,0.117285319,14.07,0.32164297,,,13.43,0.265801887,,
49.7,0.118919668,14.31,0.339652449,,,13.38,0.269103774,,
49.8,0.118587258,14.58,0.327172196,,,13.33,0.264622642,,
49.9,0.11797997,14.77,0.342496051,,,13.25,0.265566038,,
50,0.118109826,15,0.338388626,,,13.22,0.262735849,,
50.1,0.118203403,15.27,0.341548183,,,13.15,0.260613208,,
50.2,0.119044321,15.63,0.337124803,,,13.12,0.255896226,,
50.3,0.118559557,15.83,0.331279621,,,13,0.251886792,,
50.6,0.120720222,16.07,0.344233807,,,12.96,0.256132075,,
50.7,0.118171745,16.36,0.349131122,,,12.92,0.256603774,,
51.1,0.121551247,16.68,0.342180095,,,12.86,0.252122642,,
51.7,0.118282548,16.92,0.333649289,,,12.78,0.250707547,,
51.8,0.11867036,17.19,0.344233807,,,12.74,0.251179245,,
52.5,0.121495845,17.54,0.336808847,,,12.69,0.249764151,,
52.9,0.117728532,17.95,0.344391785,,,12.64,0.244575472,,
53.3,0.119778394,18.24,0.349447077,,,12.5,0.249056604,,
53.9,0.12265928,18.51,0.3492891,,,12.47,0.236792453,,
54.8,0.12166205,18.8,0.356398104,,,12.41,0.241273585,,
55.7,0.12199446,19.19,0.354028436,,,12.3,0.232783019,,
56.5,0.121052632,19.51,0.349131122,,,12.27,0.238915094,,
57.1,0.122105263,19.8,0.361137441,,,12.21,0.238679245,,
57.9,0.121883657,20.16,0.359083728,,,12.09,0.231603774,,
58.6,0.122437673,20.61,0.355450237,,,12.03,0.231132075,,
59.5,0.12299169,21,0.350394945,,,11.98,0.231603774,,
60.3,0.121717452,21.4,0.361453397,,,11.94,0.230660377,,
61,0.122770083,21.84,0.35450237,,,11.84,0.227122642,,
61.8,0.121551247,22.3,0.359399684,,,11.8,0.228773585,,
62.6,0.121883657,22.77,0.360189573,,,11.77,0.228773585,,
63.2,0.122714681,23.16,0.362243286,,,11.72,0.227122642,,
63.8,0.122216066,23.59,0.367772512,,,11.64,0.218396226,,
64.2,0.122548476,24.15,0.360663507,,,11.58,0.218396226,,
64.6,0.122271468,24.71,0.361295419,,,11.55,0.21745283,,
64.9,0.121163435,25,0.364375987,,,11.52,0.216745283,,
65,0.121551247,26,0.36192733,,,11.45,0.215330189,,
65.2,0.121883657,27,0.362085308,,,11.41,0.213679245,,
65.3,0.122396122,28,0.361997543,,,11.37,0.207311321,,
65.5,0.122382271,29,0.361120812,,,11.35,0.208962264,,
65.8,0.122493075,30,0.35870759,,,11.28,0.212971698,,
66.4,0.12299169,31,0.366666667,,,11.26,0.20990566,,
67.7,0.122271468,32,0.371248025,,,11.22,0.210613208,,
68.6,0.12624192,33,0.370458136,,,11.19,0.201650943,,
68.7,0.126278855,34,0.378672986,,,11.08,0.201650943,,
68.9,0.127091413,35,0.37235387,,,11.05,0.202830189,,
69,0.126241921,36,0.375750395,,,11.04,0.194339623,,
69.1,0.125595568,37,0.379146919,,,10.98,0.195518868,,
69.2,0.126315789,38,0.382780411,,,10.94,0.199056604,,
69.3,0.125041551,39,0.377488152,,,10.9,0.196698113,,
69.4,0.128033241,40,0.382148499,,,10.85,0.196462264,,
69.6,0.125872576,41,0.379936809,,,10.82,0.196462264,,
69.7,0.125457064,42,0.371090047,,,10.8,0.186084906,,
69.8,0.123394611,43,0.384044234,,,10.78,0.191273585,,
69.9,0.12365651,44,0.386097946,,,10.76,0.188443396,,
70,0.123432924,45,0.387045814,,,10.71,0.189622642,,
70.1,0.123919668,46,0.3835703,,,10.68,0.191273585,,
70.2,0.124887658,48,0.384755134,,,10.65,0.188915094,,
70.3,0.124339797,49,0.381234484,,,10.63,0.179481132,,
70.7,0.126759003,50,0.382303043,,,10.59,0.184198113,,
71.2,0.128033241,51,0.380647709,,,10.58,0.177830189,,
71.8,0.126925208,52,0.381569247,,,10.57,0.181367925,,
72.5,0.127423823,53,0.378672986,,,10.54,0.18254717,,
73,0.127756233,54,0.38321485,,,10.51,0.177122642,,
73.4,0.127146814,55,0.390363349,,,10.49,0.176650943,,
74,0.127036011,56,0.390758294,,,10.46,0.17759434,,
74.8,0.127313019,57,0.382148499,,,10.45,0.180424528,,
75.6,0.126814404,58,0.386729858,,,10.4,0.173349057,,
76.2,0.128975069,59,0.390600316,,,10.39,0.161556604,,
76.8,0.128476454,60,0.385624013,,,10.37,0.171226415,,
77.5,0.128476454,61,0.392259084,,,10.32,0.171462264,,
78.2,0.128033241,62,0.387203791,,,10.29,0.169811321,,
79,0.129196676,63,0.390521327,,,10.27,0.166273585,,
79.7,0.129196676,64,0.39328594,,,10.26,0.164386792,,
80.6,0.128531856,65,0.39022794,,,10.22,0.162028302,,
81.4,0.129030471,66,0.392227488,,,10.21,0.166981132,,
82.2,0.128254848,67,0.392259084,,,10.17,0.160377358,,
83,0.129030471,68,0.391184834,,,10.16,0.166509434,,
83.7,0.128476454,69,0.393578664,,,10.12,0.159433962,,
84.6,0.129307479,70,0.393180061,,,10.11,0.162735849,,
85.4,0.128476454,71,0.393771158,,,10.08,0.158254717,,
86.2,0.128587258,72,0.398894155,,,10.05,0.160613208,,
86.8,0.129252078,73,0.397946288,,,10.02,0.155188679,,
87,0.125761773,74,0.399052133,,,10.03,0.151886792,,
87.2,0.126094183,75,0.393048973,,,10.01,0.154481132,,
87.3,0.12565097,76,0.402843602,,,9.99,0.150707547,,
87.4,0.127506926,77,0.397630332,,,9.93,0.158962264,,
87.5,0.125817175,79,0.400789889,,,9.92,0.158962264,,
87.8,0.123767313,80,0.400157978,,,9.91,0.158254717,,
87.9,0.126537396,81,0.400947867,,,9.88,0.157311321,,
88,0.127756233,82,0.402527646,,,9.85,0.156603774,,
88.5,0.128365651,83,0.395734597,,,9.85,0.156367925,,
88.7,0.126592798,84,0.398841496,,,,,,
88.8,0.124210526,85,0.398177178,,,,,,
89.2,0.128421053,86,0.398683518,,,,,,
89.4,0.125373961,87,0.40300158,,,,,,
89.5,0.126094183,88,0.399131122,,,,,,
89.6,0.129639889,89,0.40147446,,,,,,
89.7,0.127202216,90,0.405217784,,,,,,
89.8,0.127279778,91,0.404326164,,,,,,
89.9,0.127688959,92,0.40549763,,,,,,
90,0.127607523,,,,,,,,
90.1,0.127657741,,,,,,,,
90.2,0.12767313,,,,,,,,
90.3,0.126592798,,,,,,,,
90.4,0.126232687,,,,,,,,
90.5,0.126703601,,,,,,,,
90.6,0.126786704,,,,,,,,
90.7,0.126759003,,,,,,,,
